kind,name,region,refer,lbPool,lbRule,lbfrontip,lbProbe,nsgrule,ipaddress,publicip,size,ostype,publisher,offer,sku,protocol,priority,sourceaddress,sourceport,destaddress,destport,Desc
resourcegroup,rg-korea,koreacentral,,,,,,,,,,,,,,,,,,,,
resourcegroup,rg-japan,japaneast,,,,,,,,,,,,,,,,,,,,
resourcegroup,rg-america,eastus,,,,,,,,,,,,,,,,,,,,
vnet,vnet-kc-01,koreacentral,rg-korea,,,,,,10.0.0.0/16,,,,,,,,,,,,,
vnet,vnet-kc-02,koreacentral,rg-korea,,,,,,10.1.0.0/16,,,,,,,,,,,,,
vnet,vnet-je-01,japaneast,rg-japan,,,,,,10.2.0.0/16,,,,,,,,,,,,,
vnet,vnet-je-02,japaneast,rg-japan,,,,,,10.3.0.0/16,,,,,,,,,,,,,
vnet,vnet-ue-01,eastus,rg-america,,,,,,10.4.0.0/16,,,,,,,,,,,,,
vnet,vnet-ue-02,eastus,rg-america,,,,,,10.5.0.0/16,,,,,,,,,,,,,
subnet,snet-kc-01,koreacentral,vnet-kc-01,,,,,,10.0.0.0/24,,,,,,,,,,,,,
subnet,snet-kc-02,koreacentral,vnet-kc-02,,,,,,10.1.0.0/24,,,,,,,,,,,,,
subnet,snet-je-01,japaneast,vnet-je-01,,,,,,10.2.0.0/24,,,,,,,,,,,,,
subnet,snet-je-02,japaneast,vnet-je-02,,,,,,10.3.0.0/24,,,,,,,,,,,,,
subnet,snet-ue-01,eastus,vnet-ue-01,,,,,,10.4.0.0/24,,,,,,,,,,,,,
subnet,snet-ue-02,eastus,vnet-ue-02,,,,,,10.5.0.0/24,,,,,,,,,,,,,
gatewaysubnet,gatewaysubnet,japaneast,vnet-je-02,,,,,,10.2.255.0/27,,,,,,,,,,,,,
vm,vm-kc-01,,,,,,,,,,standard_B1ls,windows,MicrosoftWindowsServer,WindowsServer,2019-Datacenter,,,,,,,
vm,vm-je-01,,,,,,,,,,standard_B1ls,windows,MicrosoftWindowsServer,WindowsServer,2019-Datacenter,,,,,,,
vm,vm-ue-01,,,,,,,,,,standard_B1ls,windows,MicrosoftWindowsServer,WindowsServer,2019-Datacenter,,,,,,,
lb,lb-kc-01,,vnet-kc-peer,lb-bepool,lb-kc-rule,lb-kc-feip,lb-probe,,,yes,,,,,standard,http,,,,,80,
lb,lb-je-01,,vnet-kc-lb,lb-bepool,lb-je-rule,lb-je-feip,lb-probe,,,yes,,,,,standard,http,,,,,80,
lb,lb-ue-01,,vnet-je-peer,lb-bepool,lb-ue-rule,lb-ue-feip,lb-probe,,,yes,,,,,standard,http,,,,,80,
pip,lb-kc-pip,koreacentral,rg-korea,,,,,,,,,,,,standard,,,,,,,
pip,lb-je-pip,japaneast,rg-japan,,,,,,,,,,,,standard,,,,,,,
pip,lb-ue-pip,eastus,rg-america,,,,,,,,,,,,standard,,,,,,,
nsg,nsg-kc,koreacentral,rg-korea,,,,,http-rule,,,,,,,,Tcp,100,,80,*,80,Allow HTTP
nsg,nsg-je,japaneast,rg-japan,,,,,http-rule,,,,,,,,Tcp,100,,80,*,80,Allow HTTP
nsg,nsg-ue,eastus,rg-america,,,,,http-rule,,,,,,,,Tcp,100,,80,*,80,Allow HTTP
nic,nic01,,,,,,,,,,,,,,,,,,,,,
nic,nic02,,,,,,,,,,,,,,,,,,,,,
nic,nic03,,,,,,,,,,,,,,,,,,,,,
